FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,GENDER,WORK_LIFE_BALANCE_SCORE,AGE_21 to 35,AGE_36 to 50,AGE_51 or more,AGE_Less than 20
3,2,2,5,0,5,2,0,1,6,4,5,0,7,5,5,1,4,0,5,1,609.5,0,1,0,0
2,3,4,3,8,10,5,2,2,5,2,5,5,8,2,2,2,3,2,6,1,655.6,0,1,0,0
2,3,3,4,4,10,3,2,2,2,2,4,5,8,10,2,2,4,8,3,1,631.6,0,1,0,0
3,3,10,3,10,7,2,5,2,3,5,5,0,5,7,5,1,5,2,0,1,622.7,0,0,1,0
5,1,3,3,10,4,2,4,2,5,0,5,0,7,0,0,2,8,1,5,1,663.9,0,0,1,0
3,2,3,9,10,10,2,3,1,6,1,7,10,8,0,2,2,10,8,3,1,722.3,0,0,1,0
4,2,10,6,10,10,3,5,2,8,8,7,5,7,10,0,2,10,8,10,0,727.2,0,0,1,0
3,4,5,3,5,7,4,0,1,8,2,8,10,6,0,2,2,8,2,2,1,676.2,1,0,0,0
5,3,6,4,3,3,5,4,1,10,2,1,5,10,0,2,2,10,3,10,1,702.8,1,0,0,0
4,4,2,6,10,10,0,4,2,3,2,3,0,6,0,0,1,3,8,1,1,634.4,0,0,1,0
2,4,7,7,1,1,3,0,2,2,2,7,4,8,7,3,2,3,0,6,1,610.1,0,1,0,0
1,4,3,8,0,2,1,0,1,2,1,8,2,7,7,1,2,4,1,7,0,618.6,1,0,0,0
2,2,10,5,2,8,3,4,2,7,1,6,10,8,0,0,2,5,2,7,0,686.4,1,0,0,0
5,3,0,3,6,6,6,3,1,8,7,7,2,6,0,3,2,5,6,5,1,689.6,0,1,0,0
3,3,2,3,7,5,3,2,1,8,0,2,5,8,3,2,1,4,5,4,1,639.7,1,0,0,0
3,3,5,4,10,10,2,5,1,7,2,8,10,6,1,2,2,8,3,10,1,720.4,0,0,1,0
4,2,10,4,6,10,4,0,1,8,2,1,1,8,1,1,2,3,3,3,0,673.5,1,0,0,0
4,2,10,10,5,10,0,1,1,7,1,10,2,8,0,3,2,4,8,6,0,707.6,1,0,0,0
5,3,10,7,10,5,6,5,1,6,2,8,10,9,0,7,2,5,4,7,1,727.8,0,1,0,0
3,1,6,10,10,6,3,5,2,8,4,1,5,8,0,0,2,5,1,2,0,687.1,0,1,0,0
2,4,3,8,6,5,1,2,1,8,1,4,6,4,0,3,2,3,2,5,0,652.9,1,0,0,0
3,5,5,4,5,3,2,5,2,10,6,3,3,7,5,7,2,10,10,10,1,668.6,1,0,0,0
5,2,8,6,10,10,6,4,2,4,4,3,3,7,1,2,2,10,6,8,0,709.4,0,1,0,0
2,2,6,10,10,10,10,5,1,10,6,7,4,7,0,1,2,10,5,7,0,752.7,0,1,0,0
2,4,6,10,5,5,6,4,2,6,1,7,10,6,0,3,2,1,3,10,1,677.7,0,1,0,0
1,5,1,3,6,5,3,5,1,2,2,8,1,7,0,6,2,5,1,1,0,633.9,1,0,0,0
1,4,1,2,5,3,1,5,1,1,5,8,1,7,0,4,2,2,1,1,0,628.8,1,0,0,0
2,4,10,3,10,7,8,3,1,6,0,5,5,7,0,1,2,10,2,2,1,692.8,1,0,0,0
3,4,6,4,7,10,3,3,1,4,1,10,5,6,0,3,1,7,2,8,1,673.2,0,1,0,0
4,2,10,3,1,2,3,3,1,7,2,4,1,7,0,3,2,10,1,7,1,673.9,0,0,0,1
5,3,10,3,7,5,3,2,1,7,2,10,10,7,0,0,1,10,5,10,0,712.5,1,0,0,0
3,1,3,5,2,10,4,2,1,5,4,3,10,8,0,1,2,10,4,1,1,692.6,0,1,0,0
0,5,0,3,3,8,1,5,2,4,4,1,1,6,10,10,2,3,2,1,1,574.5,0,1,0,0
1,3,10,3,2,3,2,0,1,2,2,5,2,8,0,0,1,4,3,7,1,630.1,0,0,1,0
4,2,10,6,10,8,10,2,1,10,2,10,5,7,0,3,2,10,4,10,0,746.5,1,0,0,0
3,3,0,2,0,5,0,5,2,3,1,2,0,6,0,6,1,2,2,10,0,591.7,1,0,0,0
2,3,7,4,10,8,10,5,1,5,5,2,10,6,0,3,2,10,6,10,1,729.4,0,0,1,0
2,5,1,8,5,2,2,5,2,2,0,10,0,8,7,10,1,2,0,10,1,593.7,0,1,0,0
4,1,1,10,10,10,5,5,2,8,3,7,3,6,7,2,1,6,4,10,0,682.8,0,0,1,0
5,3,6,6,10,7,3,5,1,8,5,3,4,9,0,3,2,6,6,10,1,723.4,0,0,1,0
4,2,10,8,8,4,6,3,1,5,4,3,2,7,10,1,2,5,4,8,1,687.3,1,0,0,0
4,3,10,8,10,3,2,3,2,0,0,3,0,5,0,2,2,4,0,2,1,635.9,0,0,1,0
2,3,0,8,10,10,1,2,2,5,0,2,10,9,0,3,1,10,0,10,1,655.2,0,0,1,0
3,2,4,1,1,10,3,2,1,7,5,7,2,7,4,3,1,3,5,8,0,652.4,1,0,0,0
2,3,3,10,3,4,0,4,1,7,1,8,1,8,0,3,2,2,2,3,1,657.9,0,1,0,0
3,5,10,2,9,10,5,5,1,10,1,10,10,5,10,7,2,7,2,2,1,686.6,0,1,0,0
5,3,10,10,10,6,4,5,1,7,4,10,2,6,5,1,2,8,4,10,1,732.7,0,0,1,0
4,2,10,10,5,8,5,2,2,6,3,10,2,8,2,2,1,10,3,7,1,685.5,1,0,0,0
3,2,8,10,10,10,8,5,2,10,3,7,10,7,1,2,2,10,3,10,1,742.5,0,0,1,0
2,3,3,10,10,10,5,1,2,7,4,2,6,8,0,2,2,4,1,1,1,663.5,0,1,0,0
4,3,6,3,10,10,5,4,1,4,6,8,3,7,0,4,2,4,5,9,1,710.4,1,0,0,0
3,5,8,9,5,10,4,2,2,8,4,10,2,8,10,4,2,3,3,5,1,658.3,1,0,0,0
1,2,4,6,1,10,4,0,2,5,1,5,1,6,0,1,2,8,1,2,0,633.1,0,1,0,0
5,2,3,6,4,9,3,2,1,5,3,6,3,8,0,3,2,2,3,5,1,677.9,0,0,1,0
4,2,5,10,10,2,5,3,2,4,2,1,1,6,10,1,2,3,4,4,1,640.8,1,0,0,0
1,4,1,1,1,7,1,0,1,0,5,3,1,6,10,8,1,2,2,1,1,557.9,0,0,0,1
4,2,8,6,2,10,1,1,2,6,3,5,10,8,3,3,2,10,1,2,1,669.2,0,1,0,0
5,4,10,6,5,10,7,4,1,4,4,10,1,7,0,2,2,6,4,5,0,712.5,0,1,0,0
4,3,10,1,10,2,4,5,1,9,2,10,2,7,0,0,2,10,1,7,1,712.5,0,0,1,0
0,5,0,2,1,2,0,5,1,0,0,1,0,10,0,2,1,1,0,0,0,571.9,1,0,0,0
0,5,0,2,1,2,1,5,1,1,0,1,0,10,0,2,1,1,0,0,0,575.3,1,0,0,0
4,3,1,7,5,8,5,3,1,7,3,8,3,7,10,1,2,3,9,4,1,678.1,1,0,0,0
5,2,4,5,4,4,2,1,1,4,4,6,3,7,8,3,1,4,8,8,0,648.8,1,0,0,0
1,1,10,2,1,5,1,0,1,5,4,8,1,6,5,0,2,4,1,7,0,649,1,0,0,0
2,5,6,4,10,0,10,3,1,5,1,2,1,9,0,4,1,10,1,10,1,656.9,0,1,0,0
3,3,6,8,7,6,6,2,1,8,4,5,3,6,4,7,2,5,4,8,1,680.7,1,0,0,0
